from,to,geodesic,chordal,centroid_dist,auc_gap,int_auc,ext_auc,auc_gap_rf,int_auc_rf,ext_auc_rf
CN-CRC,IT-CRC,3.6251063864390884,3.8839074097356994,34.080308791411255,0.032239587998208696,0.8009177489177489,0.7686781609195402,0.05870159725332136,0.8374372294372294,0.7787356321839081
CN-CRC,IT-CRC-2,3.6649773241987997,3.903213633989009,33.13122225059046,0.07547132034632043,0.8009177489177489,0.7254464285714285,0.12091937229437233,0.8374372294372294,0.7165178571428571
CN-CRC,JP-CRC,3.4113127213611962,3.6971331399960317,23.58082080698728,0.1090427489177489,0.8009177489177489,0.691875,0.03493722943722943,0.8374372294372294,0.8025
CN-CRC,US-CRC,3.5535978376667465,3.7808375741732063,31.88130418416002,0.10528165424319269,0.8009177489177489,0.6956360946745562,0.14328042470350155,0.8374372294372294,0.6941568047337279
CN-CRC,US-CRC-2,3.796873398469188,3.9976431940205663,38.57397059182376,0.17336672850958568,0.8009177489177489,0.6275510204081632,0.2494270253555968,0.8374372294372294,0.5880102040816326
DE-CRC,AT-CRC,3.52142658340225,3.712640502368605,23.888081779727635,0.22665631469979297,0.9361111111111111,0.7094547964113181,0.24131297446514843,0.9069444444444444,0.665631469979296
DE-CRC,CN-CRC,3.4853068316361453,3.772500271713387,34.853629664533685,0.06498998998999006,0.9361111111111111,0.8711211211211211,0.05058808808808801,0.9069444444444444,0.8563563563563564
DE-CRC,FR-CRC,3.2793349336078723,3.5722650622679675,17.493628226494057,0.13994655806440515,0.9361111111111111,0.796164553046706,0.18656089974911505,0.9069444444444444,0.7203835446953294
DE-CRC,IT-CRC,3.6616957634358407,3.87232557130817,32.506587917672256,0.1832375478927203,0.9361111111111111,0.7528735632183908,0.23884099616858234,0.9069444444444444,0.6681034482758621
DE-CRC,IT-CRC-2,3.5187274120940697,3.7899248307834146,20.77322501770711,0.23298611111111112,0.9361111111111111,0.703125,0.30873015873015874,0.9069444444444444,0.5982142857142857
DE-CRC,JP-CRC,3.5705107485592005,3.8175858045027264,39.70017228307851,0.27798611111111104,0.9361111111111111,0.6581250000000001,0.2725694444444444,0.9069444444444444,0.634375
DE-CRC,US-CRC,3.4606766874836055,3.6801203509823863,22.134847435886236,0.2578566732412886,0.9361111111111111,0.6782544378698225,0.21685568704799474,0.9069444444444444,0.6900887573964497
DE-CRC,US-CRC-2,3.84747696842301,4.040334716976847,45.30202534747569,0.4106009070294785,0.9361111111111111,0.5255102040816326,0.27174036281179137,0.9069444444444444,0.6352040816326531
FR-CRC,AT-CRC,3.3651994557174936,3.655698993916712,20.133353837702373,0.0487824494346234,0.8334615384615385,0.7846790890269151,-0.0013661218009044518,0.8326573426573427,0.8340234644582472
FR-CRC,CN-CRC,3.3386499325298318,3.678360306149986,30.351306371609247,0.01214021714021718,0.8334615384615385,0.8213213213213213,-0.05222754222754211,0.8326573426573427,0.8848848848848848
FR-CRC,DE-CRC,3.2793349336078723,3.5722650622679675,17.493628226494057,0.005128205128205221,0.8334615384615385,0.8283333333333333,0.0646017871017871,0.8326573426573427,0.7680555555555556
FR-CRC,IT-CRC,3.6079298690364294,3.8706997387435567,34.51555573784832,0.05041556145004411,0.8334615384615385,0.7830459770114944,0.17604814725504392,0.8326573426573427,0.6566091954022988
FR-CRC,IT-CRC-2,3.581341034055987,3.8206644638845364,18.041944042360818,0.18055975274725267,0.8334615384615385,0.6529017857142858,0.0927019855144855,0.8326573426573427,0.7399553571428572
FR-CRC,JP-CRC,3.4450306455167934,3.740588932382724,35.49165765582193,0.16721153846153847,0.8334615384615385,0.66625,0.06953234265734265,0.8326573426573427,0.763125
FR-CRC,US-CRC,3.383904143065233,3.662007252355174,21.53843896555101,0.12599112426035508,0.8334615384615385,0.7074704142011834,0.15958041958041957,0.8326573426573427,0.6730769230769231
FR-CRC,US-CRC-2,3.8254811775019255,3.986921321213797,41.741383921699494,0.15106357927786496,0.8334615384615385,0.6823979591836735,0.21913693449407745,0.8326573426573427,0.6135204081632653
IT-CRC,AT-CRC,3.784716640883452,3.9320137943994107,37.09016607949996,0.04159075224292608,0.6516666666666666,0.6100759144237405,-0.0029682539682538422,0.5843333333333334,0.5873015873015872
IT-CRC,CN-CRC,3.625106386439089,3.8839074097356994,34.080308791411255,-0.0780630630630631,0.6516666666666666,0.7297297297297297,-0.18468568568568566,0.5843333333333334,0.769019019019019
IT-CRC,DE-CRC,3.6616957634358407,3.87232557130817,32.506587917672256,-0.11444444444444446,0.6516666666666666,0.7661111111111111,-0.08427777777777778,0.5843333333333334,0.6686111111111112
IT-CRC,FR-CRC,3.60792986903643,3.8706997387435567,34.51555573784832,-0.08232652850809363,0.6516666666666666,0.7339931951747602,-0.13852469326734707,0.5843333333333334,0.7228580266006804
IT-CRC,IT-CRC-2,3.8397644700790425,4.003019509435313,35.73502098333926,-0.03806547619047618,0.6516666666666666,0.6897321428571428,0.08544940476190482,0.5843333333333334,0.49888392857142855
IT-CRC,JP-CRC,3.697014247966468,3.9186820309126897,32.12680367745137,-0.07395833333333335,0.6516666666666666,0.725625,-0.008791666666666642,0.5843333333333334,0.593125
