plate_1,plate_2,n_1,n_2,geodesic_dist,mean_angle_deg,max_angle_deg,min_angle_deg,external_auc_fwd,external_auc_rev,internal_auc,auc_gap
PL080,PL092,72,72,3.47003045491331,60.109304724147634,89.99258954253231,29.73769438172998,0.6125,0.711111111111111,0.5972222222222222,-0.015277777777777835
PL080,PL093,72,42,3.6996028303878807,65.12784254950294,87.8810722277476,36.10352268908264,0.7183673469387755,0.5972222222222222,0.5972222222222222,-0.12114512471655325
PL081,PL082,71,72,3.531535598137886,61.366059320793624,87.35103029057947,31.387958041041998,0.5430555555555555,0.6765536723163842,0.5492424242424242,0.006186868686868685
PL081,PL083,71,72,3.331111989400484,57.35877259658804,89.42763606415703,25.67164356885909,0.49722222222222223,0.4519774011299435,0.5492424242424242,0.05202020202020197
PL081,PL084,71,72,3.690451200415177,64.46561344627875,89.52744592077781,32.71747732993773,0.7291666666666666,0.6963276836158192,0.5492424242424242,-0.17992424242424243
PL081,PL085,71,71,3.580557275964599,61.942485192014715,87.91586909237351,25.990816250766308,0.4110169491525424,0.3559322033898305,0.5492424242424242,0.1382254750898818
PL081,PL086,71,72,3.557641974873426,61.59343220478659,88.80859638314956,28.908739082102148,0.5722222222222222,0.5028248587570622,0.5492424242424242,-0.02297979797979799
PL081,PL087,71,72,3.452781354852749,59.64137264270246,88.60896995109499,29.968751492960905,0.5194444444444445,0.596045197740113,0.5492424242424242,0.029797979797979712
PL081,PL088,71,72,3.630131648120371,63.29307315940413,89.03692431122026,32.87464078520352,0.49444444444444446,0.4406779661016949,0.5492424242424242,0.054797979797979735
PL081,PL089,71,72,3.6202021956482766,62.64152264303167,86.62049111836807,29.30483079900643,0.42500000000000004,0.4336158192090396,0.5492424242424242,0.12424242424242415
PL081,PL090,71,72,3.58867671145279,61.99958919781699,88.65905340478155,30.23426563268947,0.5277777777777778,0.5480225988700564,0.5492424242424242,0.02146464646464641
PL081,PL091,71,63,3.6042377126117517,62.349233497521126,89.24483779232479,26.74297686904651,0.5509433962264151,0.5282485875706214,0.5492424242424242,-0.0017009719839908843
PL081,PL092,71,72,3.562758820054069,61.61245367308612,89.28192658187928,29.70436109014739,0.6277777777777779,0.6497175141242938,0.5492424242424242,-0.07853535353535368
PL081,PL093,71,42,3.741972011348144,65.57118852231994,88.81449470164924,37.16122735490447,0.4857142857142857,0.42514124293785305,0.5492424242424242,0.06352813852813849
PL082,PL083,72,72,3.562558005703223,61.75669893591741,89.0137006216992,31.339008822897412,0.6319444444444444,0.55,0.48888888888888893,-0.1430555555555555
PL082,PL084,72,72,3.434300348038603,59.733540019069665,87.84720435974101,30.635417425471037,0.7013888888888888,0.6444444444444444,0.48888888888888893,-0.2124999999999999
PL082,PL085,72,71,3.641359499210091,63.49638585055268,85.00724505794679,30.261910880839558,0.5254237288135594,0.5430555555555555,0.48888888888888893,-0.03653483992467044
PL082,PL086,72,72,3.4781487392637844,59.882442102172504,89.40791580880843,29.188894189526856,0.6902777777777778,0.6833333333333333,0.48888888888888893,-0.20138888888888884
PL082,PL087,72,72,3.6047995673517033,62.66227946861672,89.03444211636415,33.30361155785091,0.29027777777777775,0.3166666666666667,0.48888888888888893,0.19861111111111118
PL082,PL088,72,72,3.603037720792302,62.18078115733647,89.24229294476771,30.255443115194605,0.44305555555555554,0.4597222222222223,0.48888888888888893,0.04583333333333339
PL082,PL089,72,72,3.6121568686512124,62.840795936549625,89.28780528306055,30.104935199282064,0.5527777777777778,0.5236111111111111,0.48888888888888893,-0.06388888888888888
PL082,PL090,72,72,3.46323213632715,59.93316971443873,89.22631412779555,29.340809899804,0.6458333333333334,0.7597222222222222,0.48888888888888893,-0.15694444444444444
PL082,PL091,72,63,3.681247384880349,63.93106943693961,88.85691461527279,32.94853390821213,0.5490566037735849,0.48194444444444445,0.48888888888888893,-0.060167714884695966
PL082,PL092,72,72,3.4775954966903138,60.272176677447575,88.23250573119914,28.18776494344563,0.5805555555555556,0.6125,0.48888888888888893,-0.09166666666666667
PL082,PL093,72,42,3.5953900334333797,63.34643510236327,81.78968016597139,38.23505965768933,0.7020408163265306,0.6861111111111111,0.48888888888888893,-0.21315192743764166
PL083,PL084,72,72,3.473517926965515,60.664857467373835,87.23568643148239,31.192794925618315,0.5180555555555556,0.5208333333333333,0.5805555555555555,0.06249999999999989
