from,to,geodesic,centroid_dist,auc_gap,int_auc,ext_auc
U of Utah,Wake Forest University,3.477505457273966,9.568982408322976,0.019166666666666776,0.7830555555555556,0.7638888888888888
UCLA,Columbia,3.3827891331308035,10.975952658124372,-0.11455140879881365,0.7660714285714286,0.8806228373702423
UCLA,Johns Hopkins,3.61346052296614,9.645593655860939,-0.09981398809523812,0.7660714285714286,0.8658854166666667
UCLA,Other,3.4576447286476775,11.146478237118389,-0.059686147186147065,0.7660714285714286,0.8257575757575757
UCLA,U of Michigan,3.199647362213414,8.715244747048017,-0.028702090592334417,0.7660714285714286,0.794773519163763
UCLA,U of Utah,3.5911158567646146,11.472846638681823,-0.05560689310689315,0.7660714285714286,0.8216783216783218
UCLA,UCSF,3.590694017795832,11.320460362028065,-0.07576530612244892,0.7660714285714286,0.8418367346938775
UCLA,Wake Forest University,3.4498674287775954,8.25200970537907,-0.016335978835978815,0.7660714285714286,0.7824074074074074
UCSF,Columbia,3.424019361714436,8.053040814488552,-0.11434413337527527,0.8181818181818181,0.9325259515570934
UCSF,Johns Hopkins,3.5757296351663213,12.347732400611163,-0.14796401515151525,0.8181818181818181,0.9661458333333334
UCSF,Other,3.526756636196253,11.225098287281037,-0.08333333333333337,0.8181818181818181,0.9015151515151515
UCSF,U of Michigan,3.2919595418169685,8.364554613119907,-0.05707950585999377,0.8181818181818181,0.8752613240418119
UCSF,U of Utah,3.6031038180442954,10.395567985439016,-0.05157342657342667,0.8181818181818181,0.8697552447552448
UCSF,UCLA,3.5906940177958315,11.320460362028065,-0.05820707070707076,0.8181818181818181,0.8763888888888889
UCSF,Wake Forest University,3.567983568731012,12.121969059949604,0.0465768799102132,0.8181818181818181,0.7716049382716049
Wake Forest University,Columbia,3.351587058976569,11.38264674692642,-0.006173849218832017,0.8963636363636363,0.9025374855824683
Wake Forest University,Johns Hopkins,3.5448916369905756,9.04409237921495,-0.04634469696969712,0.8963636363636363,0.9427083333333334
Wake Forest University,Other,3.484947941890703,10.352061598022123,0.06757575757575751,0.8963636363636363,0.8287878787878787
Wake Forest University,U of Michigan,3.2216818323982013,8.44616540284682,-0.020709534368071103,0.8963636363636363,0.9170731707317074
Wake Forest University,U of Utah,3.477505457273966,9.568982408322976,0.0423426573426573,0.8963636363636363,0.854020979020979
Wake Forest University,UCLA,3.4498674287775954,8.25200970537907,0.022752525252525246,0.8963636363636363,0.873611111111111
Wake Forest University,UCSF,3.5679835687310124,12.121969059949604,0.025190166975881167,0.8963636363636363,0.8711734693877551
