plate_1,plate_2,n_1,n_2,geodesic_dist,mean_angle_deg,confound_fraction,signal_fraction,raw_shift,centroid_dist,domain_auc,variance_ratio,ext_auc_lr_fwd,ext_auc_lr_rev,int_auc_lr,auc_gap_lr,ext_auc_rf_fwd,ext_auc_rf_rev,int_auc_rf,auc_gap_rf
PL079,PL090,72,72,3.7362128674436534,64.81206777415791,0.0,1.0,10.68642247688293,10.68642247688293,1.0,1.243763093075646,0.5569444444444445,0.4305555555555555,0.6333333333333333,0.07638888888888884,0.4840277777777778,0.5076388888888889,0.6305555555555555,0.14652777777777776
PL079,PL091,72,63,3.6472595272768045,62.95720216919584,0.0,1.0,6.7815076634746605,6.7815076634746605,1.0,1.1285500787032918,0.5528301886792453,0.5027777777777778,0.6333333333333333,0.08050314465408803,0.5028301886792452,0.625,0.6305555555555555,0.1277253668763103
PL079,PL092,72,72,3.7108332220106743,64.43844004146669,0.0,1.0,8.54792970767464,8.54792970767464,1.0,1.1545776062532382,0.5375,0.35138888888888886,0.6333333333333333,0.09583333333333333,0.5277777777777778,0.45277777777777783,0.6305555555555555,0.10277777777777775
PL079,PL093,72,42,3.749101926207912,65.76700880292651,0.0,1.0,8.61468341691159,8.61468341691159,1.0,1.0874448151402953,0.6816326530612244,0.3472222222222222,0.6333333333333333,-0.048299319727891143,0.23673469387755103,0.5006944444444444,0.6305555555555555,0.3938208616780045
PL080,PL081,72,71,3.4872479552992233,60.529747241862424,0.0,1.0,8.836167001483698,8.836167001483698,1.0,1.1728153937183055,0.5621468926553672,0.586111111111111,0.5972222222222222,0.035075329566854996,0.5932203389830508,0.5090277777777777,0.6513888888888888,0.058168549905837974
PL080,PL082,72,72,3.245412771049313,55.72354390903736,0.0,1.0,5.409939866119223,5.409939866119223,1.0,1.0941918354557614,0.5472222222222223,0.5819444444444444,0.5972222222222222,0.04999999999999993,0.6215277777777778,0.6166666666666666,0.6513888888888888,0.029861111111111005
PL080,PL083,72,72,3.466045632596056,60.16423112196715,0.0,1.0,8.83195591877509,8.83195591877509,1.0,1.1803717784528016,0.5569444444444445,0.5527777777777778,0.5972222222222222,0.040277777777777746,0.5187499999999999,0.4368055555555556,0.6513888888888888,0.13263888888888886
PL080,PL084,72,72,3.494952079383559,60.735060957831784,0.0,1.0,6.451964266318168,6.451964266318168,1.0,1.0090540331243876,0.6361111111111111,0.5513888888888888,0.5972222222222222,-0.03888888888888886,0.6659722222222222,0.8402777777777779,0.6513888888888888,-0.014583333333333393
PL080,PL085,72,71,3.7209685984682674,64.4214045527433,0.0,1.0,8.88489034385028,8.88489034385028,1.0,1.0914162098152609,0.4265536723163842,0.4986111111111111,0.5972222222222222,0.17066854990583802,0.6391242937853107,0.4729166666666667,0.6513888888888888,0.012264595103578135
PL080,PL086,72,72,3.4762421503340684,60.030113963450844,0.0,1.0,5.564704618060738,5.564704618060738,1.0,1.0308796526427315,0.5347222222222222,0.5972222222222222,0.5972222222222222,0.0625,0.5041666666666668,0.5736111111111112,0.6513888888888888,0.14722222222222203
PL080,PL087,72,72,3.587652952802643,62.215959656039104,0.0,1.0,9.202315803189231,9.202315803189231,1.0,1.054488904096621,0.3930555555555556,0.41666666666666674,0.5972222222222222,0.2041666666666666,0.3756944444444445,0.55,0.6513888888888888,0.2756944444444443
PL080,PL088,72,72,3.5614406332142536,61.750594089428844,0.0,1.0,5.847007457759915,5.847007457759915,1.0,1.0418484676972937,0.37638888888888894,0.4666666666666666,0.5972222222222222,0.22083333333333327,0.4736111111111111,0.5756944444444445,0.6513888888888888,0.1777777777777777
PL080,PL089,72,72,3.6516052953258074,63.72303364813964,0.0,1.0,8.786879128627707,8.786879128627707,1.0,1.0931746177451447,0.45555555555555555,0.41805555555555557,0.5972222222222222,0.14166666666666666,0.5513888888888889,0.49930555555555556,0.6513888888888888,0.09999999999999987
PL080,PL090,72,72,3.434915070381696,59.686616432936525,0.0,1.0,5.310031584782672,5.310031584782672,1.0,1.0295507210862223,0.6152777777777778,0.7472222222222222,0.5972222222222222,-0.018055555555555602,0.6777777777777778,0.6833333333333333,0.6513888888888888,-0.026388888888889017
PL080,PL091,72,63,3.6468827359359635,63.132969562140374,0.0,1.0,9.381046096724882,9.381046096724882,1.0,1.070456646578635,0.45849056603773586,0.5236111111111111,0.5972222222222222,0.13873165618448635,0.33962264150943394,0.46319444444444446,0.6513888888888888,0.31176624737945485
PL080,PL092,72,72,3.47003045491331,60.109304724147634,0.0,1.0,6.370862852766106,6.370862852766106,1.0,1.0463254494127183,0.6069444444444445,0.7111111111111111,0.5972222222222222,-0.009722222222222299,0.5395833333333333,0.726388888888889,0.6513888888888888,0.11180555555555549
PL080,PL093,72,42,3.6996028303878807,65.12784254950294,0.0,1.0,7.247700038843363,7.247700038843363,1.0,1.1109197597203342,0.7591836734693878,0.6277777777777778,0.5972222222222222,-0.16196145124716554,0.5204081632653061,0.4208333333333334,0.6513888888888888,0.13098072562358265
PL081,PL082,71,72,3.531535598137886,61.366059320793624,0.0,1.0,11.163498722764178,11.163498722764178,1.0,1.283285028303404,0.5319444444444444,0.6991525423728813,0.5492424242424242,0.017297979797979757,0.4861111111111111,0.6031073446327684,0.5777777777777777,0.09166666666666662
PL081,PL083,71,72,3.331111989400484,57.35877259658804,0.0,1.0,3.835032335603625,3.835032335603625,1.0,1.0064429447080665,0.5194444444444445,0.4759887005649718,0.5492424242424242,0.029797979797979712,0.30208333333333337,0.45833333333333337,0.5777777777777777,0.27569444444444435
PL081,PL084,71,72,3.690451200415177,64.46561344627875,0.0,1.0,10.822535992732211,10.822535992732211,1.0,1.1834341031418225,0.7138888888888888,0.6949152542372881,0.5492424242424242,-0.1646464646464646,0.5743055555555555,0.5635593220338982,0.5777777777777777,0.00347222222222221
PL081,PL085,71,71,3.580557275964599,61.942485192014715,0.0,1.0,4.031731288338123,4.031731288338123,1.0,1.0745812488132485,0.4279661016949152,0.346045197740113,0.5492424242424242,0.12127632254750897,0.4682203389830508,0.4378531073446328,0.5777777777777777,0.1095574387947269
PL081,PL086,71,72,3.557641974873426,61.59343220478659,0.0,1.0,9.398595184489498,9.398595184489498,1.0,1.1376841037765288,0.5,0.5324858757062148,0.5492424242424242,0.0492424242424242,0.5840277777777777,0.6497175141242938,0.5777777777777777,-0.006249999999999978
PL081,PL087,71,72,3.452781354852749,59.64137264270246,0.0,1.0,5.423764369938319,5.423764369938319,1.0,1.1122121713770468,0.5347222222222222,0.5875706214689266,0.5492424242424242,0.014520202020201989,0.5666666666666668,0.6151129943502824,0.5777777777777777,0.01111111111111096
PL081,PL088,71,72,3.630131648120371,63.29307315940413,0.0,1.0,9.4450620738784,9.4450620738784,1.0,1.125706309584998,0.47361111111111115,0.4887005649717514,0.5492424242424242,0.07563131313131305,0.6194444444444445,0.42231638418079104,0.5777777777777777,-0.04166666666666674
PL081,PL089,71,72,3.6202021956482766,62.64152264303167,0.0,1.0,3.8379090904055433,3.8379090904055433,0.9857142857142858,1.0728527489390791,0.39722222222222225,0.40960451977401136,0.5492424242424242,0.15202020202020194,0.5875,0.5720338983050847,0.5777777777777777,-0.009722222222222299
PL081,PL090,71,72,3.58867671145279,61.99958919781699,0.0,1.0,9.569171073092388,9.569171073092388,1.0,1.207472934303703,0.5097222222222222,0.5607344632768361,0.5492424242424242,0.03952020202020201,0.6180555555555556,0.6059322033898304,0.5777777777777777,-0.04027777777777786
PL081,PL091,71,63,3.6042377126117517,62.349233497521126,0.0,1.0,5.254524540109395,5.254524540109395,1.0,1.0956215718467692,0.5245283018867924,0.5141242937853107,0.5492424242424242,0.02471412235563175,0.5018867924528302,0.5790960451977402,0.5777777777777777,0.07589098532494754
PL081,PL092,71,72,3.562758820054069,61.61245367308612,0.0,1.0,7.446761424407746,7.446761424407746,1.0,1.1208896757472384,0.6375,0.6581920903954802,0.5492424242424242,-0.08825757575757576,0.5708333333333333,0.5776836158192091,0.5777777777777777,0.00694444444444442
PL081,PL093,71,42,3.741972011348144,65.57118852231994,0.0,1.0,7.600971430172385,7.600971430172385,1.0,1.055715665741289,0.4693877551020408,0.4194915254237288,0.5492424242424242,0.07985466914038342,0.22040816326530607,0.45550847457627125,0.5777777777777777,0.3573696145124716
PL082,PL083,72,72,3.5625580057032233,61.75669893591741,0.0,1.0,11.105344961210339,11.105344961210339,1.0,1.2915531627854524,0.6333333333333334,0.5388888888888889,0.48888888888888893,-0.1444444444444445,0.4638888888888889,0.5770833333333334,0.27083333333333337,-0.19305555555555554
PL082,PL084,72,72,3.434300348038603,59.733540019069665,0.0,1.0,6.767340714629851,6.767340714629851,1.0,1.0843738784411348,0.7180555555555556,0.6236111111111111,0.48888888888888893,-0.22916666666666663,0.6416666666666667,0.579861111111111,0.27083333333333337,-0.37083333333333335
PL082,PL085,72,71,3.641359499210091,63.49638585055268,0.0,1.0,11.024817774029035,11.024817774029035,1.0,1.1942187058639306,0.5423728813559323,0.5138888888888888,0.48888888888888893,-0.053483992467043384,0.568502824858757,0.517361111111111,0.27083333333333337,-0.29766949152542366
PL082,PL086,72,72,3.4781487392637844,59.882442102172504,0.0,1.0,5.744558097576222,5.744558097576222,1.0,1.1279800992591482,0.6694444444444444,0.6375,0.48888888888888893,-0.18055555555555547,0.6166666666666667,0.6125,0.27083333333333337,-0.3458333333333333
PL082,PL087,72,72,3.6047995673517033,62.66227946861672,0.0,1.0,11.06988528834405,11.06988528834405,1.0,1.153813149441216,0.3222222222222223,0.33611111111111114,0.48888888888888893,0.16666666666666663,0.4034722222222222,0.36736111111111114,0.27083333333333337,-0.1326388888888888
